,name,location,bubble,dollars,rating
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
2,I was very excited to try this restaurant after seeing it on Somebody Feed Phil. Now I suspect that the show advertises deceptively as the way that Phil described the food didn't match the experience we had. We were three and ordered the cod dinner...More,"London, Canada","<span class=""ui_bubble_rating bubble_20""></span>",,20
3,"This restaurant was disappointing.  I had read all the reviews and was very excited to dine here. Sadly, there were very few exciting things on our plates.  The seaweed infused butter and the bread were excellent.  My husbands grilled fish was cooked perfectly but prepared...More",California,"<span class=""ui_bubble_rating bubble_20""></span>",,20
4,We thought this might be a bit too hip or trendy but loved the place for the buzz. It was very busy but service was friendly and helpful in terms of explaining menu. The idea is to choose a number of small courses which are...More,"Chelmsford, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
5,"This place is great. The food is perfectly executed and beautiful to look at. If it’s on the menu, their version of fish and chips was fantastic. Highly recommend.","Baltimore, Maryland","<span class=""ui_bubble_rating bubble_50""></span>",,50
6,"Fiskebar was highly recommended and for location it was great, in the meatpacking district and right next to Noho and Gorilla which are great bars to continue the night at.

The blue mussels were excellent! But everything else was ok, good but not amazing!","Dubai, United Arab Emirates","<span class=""ui_bubble_rating bubble_30""></span>",,30
7,"While in Copenhagen and if you can’t get a table at busy Noma, at least you can taste nice food here. I found it browsing online from chef Redzepi who recommended it.

The food is absolutely to die for. Fresh fish, I recommend the oyster...More",Cyprus,"<span class=""ui_bubble_rating bubble_50""></span>",,50
8,Kodbyens Fiskebar came highly recommended by a few local people we met. We walked down to the meatpacking district and came upon a massive car park. The table and chairs for the cocktail area and dining came out and the car park was tranformed into...More,"London, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
9,"It wasn’t the easiest to find a restaurant where six people can find something they really like, or is willing to try at least. All the food was perfect and the oysters were exceptional!!! We had a couple of different waiters helping us but Kasper...More","Longyearbyen, Norway","<span class=""ui_bubble_rating bubble_50""></span>",,50
0,"Unpretentious but delicious, skillfully prepared seafood menu in trendy Meat Packing district. We had 4 delicious small plates between us two and a glass of very good house wine each. All the food was imaginatively prepared. Green mussels, melt in the mouth plaice, ribbons of...More","County Durham, United Kingdom","<span class=""ui_bubble_rating bubble_50""></span>",,50
1,"Cool setting/area in the meat packing district. A little bit pricey, but super tasty food! Nice wine and beer too.","London, United Kingdom","<span class=""ui_bubble_rating bubble_40""></span>",,40
